Visitor/Neutral,PTS,Win,Home/Neutral,PTS.1,Win.1,Visitor Seed,Home Seed,Year,Visitor_id,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home_id,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
Philadelphia 76ers,89,0,Los Angeles Lakers,98,1,1,2,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
Los Angeles Lakers,96,1,Philadelphia 76ers,91,0,2,1,2001,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Los Angeles Lakers,100,1,Philadelphia 76ers,86,0,2,1,2001,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Los Angeles Lakers,108,1,Philadelphia 76ers,96,0,2,1,2001,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Indiana Pacers,89,1,New Jersey Nets,83,0,8,1,2002,1610612754.0,0.61,115.4,113.3,2.1,100.76,0.562,0.594,0.13,0.254,0.705,1610612751.0,0.634,102.4,98.1,4.3,93.2,0.476,0.515,0.154,0.322,0.683
Utah Jazz,86,0,Sacramento Kings,89,1,8,1,2002,1610612762.0,0.207,110.2,119.4,-9.2,100.85,0.533,0.568,0.17,0.311,0.705,1610612758.0,0.488,115.9,115.3,0.6,98.91,0.548,0.582,0.133,0.294,0.728
Seattle SuperSonics,89,0,San Antonio Spurs,110,1,7,2,2002,1610612760.0,0.549,107.3,104.1,3.3,90.35,0.505,0.54,0.151,0.32,0.656,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Orlando Magic,79,0,Charlotte Hornets,80,1,5,4,2002,1610612753.0,0.5,108.9,109.1,-0.2,96.51,0.51,0.55,0.147,0.302,0.72,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705
Philadelphia 76ers,82,0,Boston Celtics,92,1,6,3,2002,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612738.0,0.744,119.5,110.1,9.4,96.59,0.561,0.591,0.122,0.291,0.717
Minnesota Timberwolves,94,0,Dallas Mavericks,101,1,5,4,2002,1610612750.0,0.598,115.7,110.8,5.0,97.95,0.554,0.588,0.146,0.3,0.709,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694
Portland Trail Blazers,87,0,Los Angeles Lakers,95,1,6,3,2002,1610612757.0,0.439,111.0,113.7,-2.7,99.51,0.521,0.555,0.16,0.332,0.682,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
Toronto Raptors,63,0,Detroit Pistons,85,1,7,2,2002,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696,1610612765.0,0.537,114.6,112.5,2.1,100.27,0.547,0.58,0.147,0.305,0.714
Indiana Pacers,79,0,New Jersey Nets,95,1,8,1,2002,1610612754.0,0.61,115.4,113.3,2.1,100.76,0.562,0.594,0.13,0.254,0.705,1610612751.0,0.634,102.4,98.1,4.3,93.2,0.476,0.515,0.154,0.322,0.683
Seattle SuperSonics,98,1,San Antonio Spurs,90,0,7,2,2002,1610612760.0,0.549,107.3,104.1,3.3,90.35,0.505,0.54,0.151,0.32,0.656,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Orlando Magic,111,1,Charlotte Hornets,103,0,5,4,2002,1610612753.0,0.5,108.9,109.1,-0.2,96.51,0.51,0.55,0.147,0.302,0.72,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705
Utah Jazz,93,1,Sacramento Kings,86,0,8,1,2002,1610612762.0,0.207,110.2,119.4,-9.2,100.85,0.533,0.568,0.17,0.311,0.705,1610612758.0,0.488,115.9,115.3,0.6,98.91,0.548,0.582,0.133,0.294,0.728
Toronto Raptors,91,0,Detroit Pistons,96,1,7,2,2002,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696,1610612765.0,0.537,114.6,112.5,2.1,100.27,0.547,0.58,0.147,0.305,0.714
Minnesota Timberwolves,110,0,Dallas Mavericks,122,1,5,4,2002,1610612750.0,0.598,115.7,110.8,5.0,97.95,0.554,0.588,0.146,0.3,0.709,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694
Philadelphia 76ers,85,0,Boston Celtics,93,1,6,3,2002,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612738.0,0.744,119.5,110.1,9.4,96.59,0.561,0.591,0.122,0.291,0.717
Portland Trail Blazers,96,0,Los Angeles Lakers,103,1,6,3,2002,1610612757.0,0.439,111.0,113.7,-2.7,99.51,0.521,0.555,0.16,0.332,0.682,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
New Jersey Nets,85,1,Indiana Pacers,84,0,1,8,2002,1610612751.0,0.634,102.4,98.1,4.3,93.2,0.476,0.515,0.154,0.322,0.683,1610612754.0,0.61,115.4,113.3,2.1,100.76,0.562,0.594,0.13,0.254,0.705
Charlotte Hornets,110,1,Orlando Magic,100,0,4,5,2002,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705,1610612753.0,0.5,108.9,109.1,-0.2,96.51,0.51,0.55,0.147,0.302,0.72
Sacramento Kings,90,1,Utah Jazz,87,0,1,8,2002,1610612758.0,0.488,115.9,115.3,0.6,98.91,0.548,0.582,0.133,0.294,0.728,1610612762.0,0.207,110.2,119.4,-9.2,100.85,0.533,0.568,0.17,0.311,0.705
San Antonio Spurs,102,1,Seattle SuperSonics,75,0,2,7,2002,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69,1610612760.0,0.549,107.3,104.1,3.3,90.35,0.505,0.54,0.151,0.32,0.656
Detroit Pistons,84,0,Toronto Raptors,94,1,2,7,2002,1610612765.0,0.537,114.6,112.5,2.1,100.27,0.547,0.58,0.147,0.305,0.714,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696
Boston Celtics,103,0,Philadelphia 76ers,108,1,3,6,2002,1610612738.0,0.744,119.5,110.1,9.4,96.59,0.561,0.591,0.122,0.291,0.717,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Dallas Mavericks,115,1,Minnesota Timberwolves,102,0,4,5,2002,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694,1610612750.0,0.598,115.7,110.8,5.0,97.95,0.554,0.588,0.146,0.3,0.709
