Visitor/Neutral,PTS,Win,Home/Neutral,PTS.1,Win.1,Visitor Seed,Home Seed,Year,Visitor_id,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home_id,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
Philadelphia 76ers,74,0,Milwaukee Bucks,80,1,1,2,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683
San Antonio Spurs,82,0,Los Angeles Lakers,111,1,1,2,2001,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691
Philadelphia 76ers,89,1,Milwaukee Bucks,83,0,1,2,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683
Milwaukee Bucks,88,0,Philadelphia 76ers,89,1,2,1,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Philadelphia 76ers,100,0,Milwaukee Bucks,110,1,1,2,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683
Milwaukee Bucks,91,0,Philadelphia 76ers,108,1,2,1,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Philadelphia 76ers,107,1,Los Angeles Lakers,101,0,1,2,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691
Philadelphia 76ers,89,0,Los Angeles Lakers,98,1,1,2,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691
Los Angeles Lakers,96,1,Philadelphia 76ers,91,0,2,1,2001,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Los Angeles Lakers,100,1,Philadelphia 76ers,86,0,2,1,2001,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Los Angeles Lakers,108,1,Philadelphia 76ers,96,0,2,1,2001,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Indiana Pacers,89,1,New Jersey Nets,83,0,8,1,2002,1610612754,0.512,102.8,102.4,0.4,93.13,0.477,0.527,0.162,0.302,0.686,1610612751,0.634,102.4,98.1,4.3,93.2,0.476,0.515,0.154,0.322,0.683
Utah Jazz,86,0,Sacramento Kings,89,1,8,1,2002,1610612762,0.537,103.8,102.9,0.9,91.75,0.472,0.529,0.178,0.362,0.683,1610612758,0.744,107.9,99.7,8.1,96.74,0.497,0.539,0.142,0.306,0.69
Seattle SuperSonics,89,0,San Antonio Spurs,110,1,7,2,2002,1610612760,0.549,107.3,104.1,3.3,90.35,0.505,0.54,0.151,0.32,0.656,1610612759,0.707,105.4,98.5,6.9,91.06,0.492,0.539,0.157,0.301,0.685
Orlando Magic,79,0,Charlotte Hornets,80,1,5,4,2002,1610612753,0.537,105.6,104.1,1.5,94.4,0.493,0.533,0.143,0.292,0.665,1610612766,0.537,102.9,101.8,1.2,90.93,0.466,0.513,0.154,0.333,0.689
Philadelphia 76ers,82,0,Boston Celtics,92,1,6,3,2002,1610612755,0.524,100.5,98.7,1.8,90.32,0.452,0.507,0.169,0.341,0.702,1610612738,0.598,102.1,99.9,2.2,93.6,0.476,0.52,0.144,0.272,0.695
Minnesota Timberwolves,94,0,Dallas Mavericks,101,1,5,4,2002,1610612750,0.61,107.5,104.1,3.4,91.72,0.49,0.532,0.145,0.343,0.703,1610612742,0.695,110.3,106,4.3,94.36,0.507,0.553,0.127,0.285,0.683
Portland Trail Blazers,87,0,Los Angeles Lakers,95,1,6,3,2002,1610612757,0.598,105.9,102.6,3.3,90.55,0.485,0.528,0.157,0.345,0.703,1610612747,0.707,108,100.4,7.6,93.32,0.498,0.534,0.135,0.311,0.686
Toronto Raptors,63,0,Detroit Pistons,85,1,7,2,2002,1610612761,0.512,101.1,101.7,-0.6,90.02,0.463,0.501,0.158,0.343,0.671,1610612765,0.61,103.2,100.9,2.3,91.38,0.497,0.54,0.159,0.277,0.676
Indiana Pacers,79,0,New Jersey Nets,95,1,8,1,2002,1610612754,0.512,102.8,102.4,0.4,93.13,0.477,0.527,0.162,0.302,0.686,1610612751,0.634,102.4,98.1,4.3,93.2,0.476,0.515,0.154,0.322,0.683
Seattle SuperSonics,98,1,San Antonio Spurs,90,0,7,2,2002,1610612760,0.549,107.3,104.1,3.3,90.35,0.505,0.54,0.151,0.32,0.656,1610612759,0.707,105.4,98.5,6.9,91.06,0.492,0.539,0.157,0.301,0.685
Orlando Magic,111,1,Charlotte Hornets,103,0,5,4,2002,1610612753,0.537,105.6,104.1,1.5,94.4,0.493,0.533,0.143,0.292,0.665,1610612766,0.537,102.9,101.8,1.2,90.93,0.466,0.513,0.154,0.333,0.689
Utah Jazz,93,1,Sacramento Kings,86,0,8,1,2002,1610612762,0.537,103.8,102.9,0.9,91.75,0.472,0.529,0.178,0.362,0.683,1610612758,0.744,107.9,99.7,8.1,96.74,0.497,0.539,0.142,0.306,0.69
Toronto Raptors,91,0,Detroit Pistons,96,1,7,2,2002,1610612761,0.512,101.1,101.7,-0.6,90.02,0.463,0.501,0.158,0.343,0.671,1610612765,0.61,103.2,100.9,2.3,91.38,0.497,0.54,0.159,0.277,0.676
Minnesota Timberwolves,110,0,Dallas Mavericks,122,1,5,4,2002,1610612750,0.61,107.5,104.1,3.4,91.72,0.49,0.532,0.145,0.343,0.703,1610612742,0.695,110.3,106,4.3,94.36,0.507,0.553,0.127,0.285,0.683
Philadelphia 76ers,85,0,Boston Celtics,93,1,6,3,2002,1610612755,0.524,100.5,98.7,1.8,90.32,0.452,0.507,0.169,0.341,0.702,1610612738,0.598,102.1,99.9,2.2,93.6,0.476,0.52,0.144,0.272,0.695
Portland Trail Blazers,96,0,Los Angeles Lakers,103,1,6,3,2002,1610612757,0.598,105.9,102.6,3.3,90.55,0.485,0.528,0.157,0.345,0.703,1610612747,0.707,108,100.4,7.6,93.32,0.498,0.534,0.135,0.311,0.686
